"","unix","low","high","open","close","BTC-USD volume"
"168",1602115200,10532.11,10963.16,10670.47,10933.09,11301.25106194
"169",1602028800,10546.78,10683.75,10601.2,10670.47,6108.04255109
"170",1601942400,10524,10800,10796.97,10602.66,7596.36372031
"171",1601856000,10621.12,10800,10670.01,10795,6081.38701926
"172",1601769600,10521.87,10697,10550.32,10671.11,3569.25620166
"173",1601683200,10498.02,10606.36,10573.12,10551.65,3211.70459291
"174",1601596800,10363.76,10668.56,10616.35,10573.12,10263.48290265
"175",1601510400,10427.75,10931.98,10779.63,10617.63,12848.73637335
"176",1601424000,10657.04,10847,10839.98,10779.63,6318.52943807
"177",1601337600,10636.13,10860.79,10694.9,10840.73,8200.78265336
"178",1601251200,10621.22,10956.11,10779,10695.55,8876.06156838
"179",1601164800,10595.24,10806.32,10730,10778.2,3880.03686062
"180",1601078400,10654.58,10828,10690.53,10730,3783.39739972
"181",1600992000,10551,10765.07,10740,10690.53,9690.62760986
"182",1600905600,10192.56,10795.87,10237.41,10740.01,9678.39349807
"183",1600819200,10135.22,10541.25,10531.13,10235.1,8893.24233647
"184",1600732800,10355,10576.82,10416.83,10531.13,7904.25642443
"185",1600646400,10180,10994,10920.94,10416.82,15004.71121349
"186",1600560000,10759.37,11081.37,11081.09,10920.89,6003.78509052
"187",1600473600,10891.78,11179.9,10937.5,11080,5718.02211829
"188",1600387200,10813,11039.88,10943.99,10937.52,8660.059472
"189",1600300800,10735.55,11044,10957.06,10943.61,8885.4490645
"190",1600214400,10662.02,11099.95,10783.36,10959.61,11003.70130082
"191",1600128000,10613.18,10950,10678.41,10783.75,12634.3292873
"192",1600041600,10253,10760.62,10336.76,10679.95,13532.95018331
"193",1599955200,10211,10582.36,10446.52,10336.76,10442.19360563
"194",1599868800,10276.19,10483.23,10394.41,10446.52,6495.30033616
"195",1599782400,10200,10411.44,10344.24,10394.41,7200.29156246
"196",1599696000,10216.41,10489,10224.56,10343.23,11237.01908035
"197",1599609600,9983.34,10349.99,10126.41,10224.56,9645.50409232
"198",1599523200,9819.83,10440.91,10375,10125.69,15768.31017626
"199",1599436800,9880,10410.9,10258.67,10375,11996.92866276
"200",1599350400,10000,10358.88,10169.58,10257.86,9516.19303239
"201",1599264000,9813,10564.8,10500.05,10168.36,22450.75807716
"202",1599177600,9895.22,10638.34,10172.13,10500.05,23366.46467779
"203",1599091200,10005,11474.99,11395.49,10172.52,30364.24398441
"204",1599004800,11160,11950,11924.22,11395.48,19721.44316904
"205",1598918400,11525.09,12086,11655,11924.22,16057.64432384
"206",1598832000,11576,11784.66,11716,11655,9123.59353747
"207",1598745600,11463.87,11720,11474.3,11716.01,5594.22582376
"208",1598659200,11422.21,11580,11535,11474.31,5417.54146196
"209",1598572800,11282.09,11550.51,11330.56,11535,10373.89590327
"210",1598486400,11125,11597.92,11463.27,11330.06,13517.39421459
"211",1598400000,11254.89,11539.99,11324.92,11463.27,9124.5541845
"212",1598313600,11102.73,11769.76,11753.26,11324.92,14348.63533296
"213",1598227200,11592.91,11823.62,11650.01,11753.85,7253.01922609
"214",1598140800,11525.62,11715,11672.92,11650.01,5516.17048181
"215",1598054400,11370,11693.16,11529.99,11672.93,7946.02465327
"216",1597968000,11480,11884.99,11864.26,11529.22,14865.37875873
"217",1597881600,11671.48,11892.16,11758.87,11864.26,8801.17750309
"218",1597795200,11569,12024.83,11954.22,11758.87,16646.31489492
"219",1597708800,11825,12400,12303.98,11950,18628.91287504
"220",1597622400,11775,12486.61,11918.84,12304.26,23814.66050181
"221",1597536000,11686.53,11940,11860.02,11918.84,8911.25397878
"222",1597449600,11688,11989.98,11777.5,11859.24,12567.03859346
"223",1597363200,11651.24,11865.97,11795.95,11779,13797.82000137
"224",1597276800,11274.14,11802.09,11566.44,11795.95,15369.40392513
"225",1597190400,11148.54,11625,11388.88,11566.45,12809.98917913
"226",1597104000,11120,11943,11899.87,11388.53,20706.60991744
"227",1597017600,11470.01,12086.22,11688.25,11899.73,22152.58893673
"228",1596931200,11532.04,11810.24,11773.24,11688.48,7595.96106535
"229",1596844800,11529.45,11818.18,11606.52,11774.98,7315.88456116
"230",1596758400,11350,11920,11773.89,11606.52,23761.51075422
"231",1596672000,11580.19,11916.68,11756.75,11773.89,18053.08146864
"232",1596585600,11073.7,11798.87,11197.05,11756.75,16637.78082145
"233",1596499200,11006.16,11417.11,11233.16,11197.04,12074.47851394
"234",1596412800,10911.74,11486.6,11067.46,11233.13,13783.34037417
"235",1596326400,10546.15,12134.29,11810.07,11068.54,28118.42911355
"236",1596240000,11237.82,11888,11351.61,11810.07,18293.12524307
"237",1596153600,10975,11460,11115.99,11351.62,15747.02174952
"238",1596067200,10811,11188.65,11108.16,11115.95,12408.70410754
"239",1595980800,10843.47,11350,10934.22,11110.12,18556.27794282
"240",1595894400,10575,11259,11048.05,10934.23,26011.37513947
"241",1595808000,9935,11420,9941,11048.91,41850.57309953
"242",1595721600,9661.35,10150,9711.79,9941,11615.0460936
"243",1595635200,9536.64,9747.76,9551.21,9711.33,6973.11089437
"244",1595548800,9475.7,9645.55,9613.24,9551.21,9798.89346586
"245",1595462400,9450.04,9686,9536.2,9613.24,12992.9719195
"246",1595376000,9277,9567.77,9394.14,9536.18,10362.35264843
"247",1595289600,9157.04,9438,9161.05,9394.14,9603.9151125
"248",1595203200,9131,9223.51,9214.01,9161.05,5815.33084221
"249",1595116800,9105.37,9245.03,9175.83,9212.87,3520.07247613
"250",1595030400,9122.65,9210,9154.29,9175.85,4121.62697417
"251",1594944000,9054.99,9182.99,9130.93,9154.29,6423.74716202
"252",1594857600,9005,9216.02,9190.8,9130.11,8765.69858912
